Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
613-112-00-5,octhilinone (ISO); 2-octyl-2H-isothiazol-3-one; [OIT],26530-20-1,H330 | H311 | H301 | H314 | H318 | H317 | H400 | H410 |,"Inhalation: ATE = 0.27 mg/L (dusts/mists) | Dermal: ATE = 311 mg/kg bw | Oral: ATE = 125 mg/kg bw | Skin Sens. 1A; : C ≥ ,0015 % | M=100 | M=100 |"
613-116-00-7,tolylfluanid (ISO); dichloro-N- [(dimethylamino)sulphonyl]fluoro-N-(p-tolyl)methanesulphenamide; [containing ≥ 0.1 % (w/w) of particles with an aerodynamic diameter of below 50 µm],731-27-1,H330 | H335 | H372 ** | H315 | H319 | H317 | H400 |,M=10 |
613-116-01-4,tolylfluanid (ISO); dichloro-N-[(dimethylamino)sulphonyl]fluoro-N-(p-tolyl)methanesulphenamide; [containing < 0.1% (w/w) of particles with an aerodynamic diameter of below 50 μm],731-27-1,H335 | H315 | H319 | H317 | H400 |,M=10 |
613-120-00-9,"bioresmethrin (ISO); (5-benzyl-3-furyl)methyl (1R)-2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropanecarboxylate",28434-01-7,H400 | H410 |,M=1000 |
613-121-00-4,"chlorsulfuron (ISO); 2-chloro-N-[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)amino]carbonyl]benzenesulphonamide",64902-72-3,H400 | H410 |,M=1000 | M=100 |
613-125-00-6,hexythiazox (ISO); trans-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-3-thiazolidine-carboxamide,78587-05-0,H400 | H410 |,M=1 | M=1 |
613-133-00-X,"etridiazole (ISO); 5-ethoxy-3-trichloromethyl-1,2,4-thiadiazole",2593-15-9,H351 | H302 | H317 | H400 | H410 |,M=1 | M=1 |
613-139-00-2,"metsulfuron-methyl (ISO); methyl 2-{[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoyl]sulfamoyl}benzoate",74223-64-6,H400 | H410 |,M=1000 |
613-149-00-7,pyridaben (ISO); 2-tert-butyl-5-(4-tert-butylbenzylthio)-4-chloropyridazin-3(2H)-one,96489-71-3,H331 | H301 | H400 | H410 |,M=1000 | M=1000 |
613-163-00-3,"azimsulfuron (ISO); 1-(4,6-dimethoxypyrimidin-2-yl)-3-[1-methyl-4-(2-methyl-2H-tetrazol-5-yl)pyrazol-5-ylsulfonyl]urea",120162-55-2,H400 | H410 |,M=1000 |
613-164-00-9,"flufenacet (ISO); N-(4-fluorophenyl)-N-isopropyl-2-(5-trifluoromethyl-[1,3,4]thiadiazol-2-yloxy)acetamide",142459-58-3,H302 | H373 ** | H317 | H400 | H410 |,M=100 |
613-165-00-4,"flupyrsulfuron-methyl-sodium (ISO); methyl 2-[[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-6-trifluoromethyl]nicotinate, monosodium salt",144740-54-5,H400 | H410 |,M=100 |
613-166-00-X,"flumioxazin (ISO); | N-(7-fluoro-3,4-dihydro- 3-oxo-4-prop- 2-ynyl-2H-1,4-benzoxazin- 6-yl)cyclohex- 1-ene-1,2-dicarboximide",103361-09-7,H361d | H400 | H410 |,M=1000 | M=1000 |
613-167-00-5,reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1),55965-84-9,H330 | H310 | H301 | H314 | H318 | H317 | H400 | H410 |,"Skin Corr. 1C; : C ≥ ,6 % | Skin Irrit. 2; H315: ,06 % ≤ C < ,6 % | Eye Dam. 1; : C ≥ ,6 % | Eye Irrit. 2; H319: ,06 % ≤ C < ,6 % | Skin Sens. 1A; : C ≥ ,0015 % | M=100 | M=100 |"
613-169-00-6,9-vinylcarbazole,1484-13-5,H341 | H312 | H302 | H315 | H317 | H400 | H410 |,M=100 |
613-202-00-4,"pymetrozine (ISO); (E)-4,5-dihydro-6-methyl-4-(3-pyridylmethyleneamino)-1,2,4-triazin-3(2H)-one",123312-89-0,H351 | H361fd | H410 |,M=1 |
613-203-00-X,pyraflufen-ethyl (ISO); 2-chloro-5-(4-chloro-5-difluoromethoxy-1-methylpyrazol-3-yl)-4-fluorophenoxyacetic acid ethyl ester [1] | pyraflufen (ISO); 2-chloro-5-(4-chloro-5-difluoromethoxy-1-methylpyrazol-3-yl)-4-fluorophenoxyacetic acid  [2] |,129630-19-9 [1] | 129630-17-7 [2] |,H400 | H410 |,M=1000 |
613-204-00-5,"oxadiargyl (ISO); 3-[2,4-dichloro-5-(2-propynyloxy)phenyl]-5-(1,1-dimethylethyl)-1,3,4-oxadiazol-2(3H)-one",39807-15-3,H361d *** | H373 ** | H400 | H410 |,M=1000 |
613-205-00-0,"propiconazole (ISO); | (2RS,4RS;2RS,4SR)-1-{[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl}-1H-1,2,4-triazole",60207-90-1,H360D | H302 | H317 | H400 | H410 |,M=1 | M=1 |
613-208-00-7,imazamox (ISO); | (RS)-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)-5-methoxymethylnicotinic acid,114311-32-9,H361d | H400 | H410 |,M=10 | M=10 |
613-259-00-5,"imiprothrin (ISO); reaction mass of: [2,4-dioxo-(2-propyn-1-yl)imidazolidin-3-yl]methyl(1R)-cis-chrysanthemate; [2,4-dioxo-(2-propyn-1-yl)imidazolidin-3-yl]methyl(1R)-trans-chrysanthemate",72963-72-5,"H351 | H332 | H302 | H371 (nervous system; oral, inhalation) | H400 |  |",Inhalation: ATE = 1.4 mg/L (dusts/mists) | Oral: ATE = 550 mg/kg bw | M=10 | M=10 |
613-267-00-9,"thiamethoxam (ISO); | 3-(2-chloro-thiazol-5-ylmethyl)-5-methyl[1,3,5]oxadiazinan-4-ylidene-N-nitroamine",153719-23-4,H361fd | H302 | H400 | H410 |,Oral: ATE = 780 mg/kg bw | M=10 | M=10 |
613-271-00-0,"tritosulfuron (ISO) (containing ≤ 0,02% AMTT); 1-[4-methoxy-6-(trifluoromethyl)-1,3,5-triazin-2-yl]-3-[2-(trifluoromethyl)benzenesulfonyl]urea (containing ≤ 0,02% AMTT)",142469-14-5,H317 | H400 | H410 |,M=10 |
613-272-00-6,pyraclostrobin (ISO); methyl N-{2-[1-(4-chlorophenyl)-1H-pyrazol-3-yloxymethyl]phenyl}(N-methoxy)carbamate,-,H331 | H315 | H400 | H410 |,M=100 |
613-282-00-0,"triticonazole (ISO); | (RS)-(E)-5-(4-chlorobenzylidene)-2,2-dimethyl-1-(1H-1,2,4-triazol-1-methyl)cyclopentanol",138182-18-0,H361f | H373 | H400 | H410 |,M=1 | M=1 |
613-317-00-X,"penconazole (ISO); 1-[2-(2,4-dichlorophenyl)pentyl]-1H-1,2,4-triazole",66246-88-6,H361d | H302 | H400 | H410 |,M=1 | M=1 |
613-318-00-5,"fenpyrazamine (ISO); S-allyl 5-amino-2,3-dihydro-2-isopropyl-3-oxo-4-(o-tolyl)pyrazole-1-carbothioate; S-allyl 5-amino-2-isopropyl-4-(2-methylphenyl)-3-oxo-2,3-dihydropyrazole-1-carbothioate",473798-59-3,H400 | H410 |,M=10 | M=1 |
613-320-00-6,"lenacil (ISO); 3-cyclohexyl-6,7-dihydro-1H-cyclopenta[d]pyrimidine-2,4(3H,5H)-dione",2164-08-1,H351 | H400 | H410 |,M=10 | M=10 |
613-321-00-1,"(RS)-4-[1-(2,3-dimethylphenyl)ethyl]-1H-imidazole; | medetomidine",86347-14-0,H330 | H300 | H336 | H370 (eye) | H372 | H400 | H410 |,M=1 | M=100 |
613-323-00-2,"terbuthylazine (ISO); | N-tert-butyl-6-chloro-N′-ethyl-1,3,5-triazine-2,4-diamine",5915-41-3,H302 | H373 | H400 | H410 |,M=10 | M=10 |
613-324-00-8,quinolin-8-ol; | 8-hydroxyquinoline,148-24-3,H360D | H301 | H318 | H317 | H400 | H410 |,M=1 | M=1 |
613-325-00-3,"thiacloprid (ISO); | (Z)-3-(6-chloro-3-pyridylmethyl)-1,3-thiazolidin-2-ylidenecyanamide; | {(2Z)-3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene}cyanamide",111988-49-9,H351 | H360FD | H301 | H332 | H336 | H400 | H410 |,M=100 | M=100 |
613-326-00-9,2-methylisothiazol-3(2H)-one,2682-20-4,H330 | H311 | H301 | H314 | H318 | H317 | H400 | H410 |,"Skin Sens. 1A; H317: C ≥ 0,0015 % | M=10 | M=1 |"
613-327-00-4,"pyroxsulam (ISO); | N-(5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)-2-methoxy-4-(trifluoromethyl) pyridine-3-sulfonamide",422556-08-9,H317 | H400 | H410 |,M=100 | M=100 |
613-329-00-5,"halosulfuron-methyl (ISO); | methyl 3-chloro-5-{[(4,6-dimethoxypyrimidin-2-yl)carbamoyl]sulfamoyl}-1-methyl-1H-pyrazole-4-carboxylate",100784-20-1,H360D | H400 | H410 |,M=1000 | M=1000 |
613-331-00-6,"(2RS)-2-[4-(4-chloro­phenoxy)-2-(trifluoromethyl)phenyl]-1-(1H- 1,2,4-triazol-1-yl)propan-2-ol; mefentrifluconazole",1417782-03-6,H317 | H400 | H410 |,M=1 | M=1 |
613-332-00-1,"oxathiapiprolin (ISO); 1-(4-{4-[5-(2,6-di­fluorophenyl)-4,5-di­hydro-1,2-oxazol-3- yl]-1,3-thiazol-2-yl}piperidin-1-yl)-2-[5- methyl-3-(trifluoro­methyl)-1H-pyrazol-1-yl]ethanone",1003318-67-9,H410 |,M=1 |
613-333-00-7,pyrithione zinc; (T-4)- bis[1-(hydroxy-.kappa.O)pyridine-2(1H)- thionato-.kappa.S]zinc,13463-41-7,H360D | H330 | H301 | H372 | H318 | H400 | H410 |,Inhalation: ATE = 0.14 mg/L (dusts/mists) | Oral: ATE = 221 mg/kg bw | M=1000 | M=10 |
613-334-00-2,flurochloridone (ISO); 3-chloro-4-(chloro­methyl)-1-[3-(trifluor­omethyl)phenyl]pyrrolidin-2-one,61213-25-0,H360FD | H302 | H317 | H400 | H410 |,Oral: ATE = 500 mg/kg bw | M=100 | M=100 |
613-335-00-8,"4,5-dichloro-2-octyl- 2H-isothiazol-3-one; [DCOIT]",64359-81-5,H330 | H302 | H314 | H318 | H317 | H400 | H410 |,"Inhalation: ATE = 0.16 mg/L (dusts/mists) | Oral: ATE = 567 mg/kg bw | Skin Irrit. 2; H315: 0,025 % ≤ C < 5 % | Eye Irrit. 2; H319: 0,025 % ≤ C < 3 % | Skin Sens. 1A; H317: C ≥ 0,0015 % | M=100 | M=100 |"
613-336-00-3,"2-methyl-1,2-ben­zothiazol-3(2H)-one; [MBIT]",2527-66-4,H301 | H312 | H314 | H318 | H317 | H400 | H411 |,"Oral: ATE = 175 mg/kg bw | Dermal: ATE = 1100 mg/kg bw | Skin Sens. 1A; H317: C ≥ 0,0015 % | M=1 |"
613-337-00-9,"prothioconazole (ISO); | 2-[2-(1-chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl]-2,4-dihydro-3H-1,2,4-triazole-3-thione",178928-70-6,H400 | H410 |,M=10 | M=1 |
613-338-00-4,"azamethiphos (ISO); S-[(6-chloro-2-oxooxazolo[4,5-b]pyridin-3(2H)-yl)methyl] O,O-dimethyl thiophosphate",35575-96-3,H351 | H331 | H302 | H370 (nervous system) | H317 | H400 | H410 |,Inhalation: ATE = 0.5 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=1000 | M=1000 |
613-340-00-5,"clomazone (ISO); 2-(2-chlorobenzyl)-4,4-dimethyl-1,2-oxazolidin-3-one",81777-89-1,H332 | H302 | H400 | H410 |,Inhalation: ATE = 4.85 mg/L (dusts/mists) | Oral: ATE = 768 mg/kg bw | M=1 | M=1 |
613-341-00-0,"clofentezine (ISO); 3,6-bis(o-chlorophenyl)-1,2,4,5-tetrazine",74115-24-5,H410,M=1
613-343-00-1,"pyridalyl (ISO); 2,6-dichloro-4-(3,3-dichloroallyloxy)phenyl 3-[5-(trifluoromethyl)-2-pyridyloxy]propyl ether",179101-81-6,H317 | H400 | H410,M=1000 | M=100
613-344-00-7,"Pyridine-2-thiol 1-oxide, sodium salt; pyrithione sodium; sodium pyrithione",3811-73-2 | 15922-78-8,H331 | H311 | H302  | H372 (nervous system) | H315 | H319 | H317 | H400 | H411,"inhalation: | ATE = 0,5mg/L (dusts or mists) | dermal: | ATE = 790 mg/kg bw | oral: | ATE = 500 mg/kg bw | M=100"
614-030-00-2,"emamectin benzoate (ISO); (4""R)-4""-deoxy-4""-(methylamino) avermectin B1 benzoate",155569-91-8,H331 | H311 | H301 | H370 (nervous system) | H372 (nervous system) | H318 | H400 | H410 |,"Inhalation: ATE = 0.663 mg/L (dusts/mists) | Dermal: ATE = 300 mg/kg bw | Oral: ATE = 60 mg/kg bw | STOT RE 1; H372: C ≥ 5 % | STOT RE 2; H373: 0,5 % ≤ C < 5 % | M=10000 | M=10000 |"
616-006-00-7,"dichlofluanid (ISO); N-[(dichlorofluoromethyl)thio]-N′,N′-dimethyl-N-phenylsulfamide",1085-98-9,H332 | H319 | H317 | H400 |,M=10 |
616-009-00-3,"propanil (ISO); 3',4'-dichloropropionanilide",709-98-8,H302 | H400 |,M=10 |
616-015-00-6,"alachlor (ISO); 2-chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide",15972-60-8,H351 | H302 | H317 | H400 | H410 |,M=10 |
616-032-00-9,"diflufenican (ISO); | N-(2,4-difluorophenyl)-2-[3-(trifluoromethyl)phenoxy]-3-pyridinecarboxamide; | 2′,4′-difluoro-2-(α,α,α- trifluoro-m-tolyloxy) nicotinanilide; N-(2,4-difluorophenyl)-2-[3-(trifluoromethyl)phenoxy]-3-pyridinecarboxamide",83164-33-4,H400 | H410 |,M=10000 | M=1000 |
616-037-00-6,acetochlor (ISO); 2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide,34256-82-1,H351 | H361f | H332 | H335 | H373 (kidney) | H315 | H317 | H400 | H410 |,M=1000 | M=100 |
616-106-00-0,phenmedipham (ISO); | methyl 3-(3-methylcarbaniloyloxy)carbanilate,13684-63-4,H400 | H410 |,M=10 | M=10 |
616-113-00-9,desmedipham (ISO); | ethyl 3-phenylcarbamoyloxyphenylcarbamate,13684-56-5,H361d | H400 | H410 |,M=10 | M=10 |
616-141-00-1,"zoxamide (ISO); (RS)-3,5-dichloro-N-(3-chloro-1-ethyl-1-methyl-2-oxopropyl)-p-toluamide",156052-68-5,H317 | H400 | H410 |,M=10 |
616-145-00-3,pethoxamide (ISO); 2-chloro-N-(2-ethoxyethyl)-N-(2-methyl-1-phenylprop-1-enyl)acetamide,106700-29-2,H302 | H317 | H400 | H410 |,M=100 |
616-165-00-2,"beflubutamid (ISO); (RS)-N-benzyl-2-(α,α,α,4-tetrafluoro-m-tolyoxy)butyramide",113614-08-7,H400 | H410 |,M=100 |
616-166-00-8,"cyazofamid (ISO); 4-chloro-2-cyano-N,N-dimethyl-5-p-tolylimidazole-1-sulfonamide",120116-88-3,H400 | H410 |,M=10 |
616-205-00-9,"Metazachlor (ISO); 2-chloro-N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)acetamide",67129-08-2,H351 | H317 | H400 | H410 |,M=100 | M=100 |
616-206-00-4,"flufenoxuron (ISO); 1-(4-(2-cloro-α,α,α-p-trifluorotolyloxy)-2-fluorophenyl)-3-(2,6-difluorobenzolyl)urea",101463-69-8,H362 | H400 | H410 |,M=10000 | M=10000 |
616-207-00-X,polyhexamethylene biguanide hydrochloride; PHMB [1] | PHMB [2] |,32289-58-0 [1] | 27083-27-8 [2] |,H351 | H330 | H302 | H372 (respiratory tract) (inhalation) | H318 | H317 | H400 | H410 |,M=10 | M=10 |
616-209-00-0,"amidosulfuron (ISO); 3-(4,6-dimethoxypyrimidin-2-yl)-1-((N-methyl-N-methylsulfonylamino)sulfonyl)urea",120923-37-7,H400 | H410 |,M=100 | M=100 |
616-210-00-6,tebufenpyrad (ISO); N-(4-tertbutylbenzyl)-4-chloro-3-ethyl-1-methyl-1Hpyrazole-5- carboxamide,119168-77-3,H301 | H332 | H373 (gastro-intestinal tract) (oral) | H317 | H400 | H410 |,M=10 | M=10 |
616-211-00-1,proquinazid (ISO); 6-iodo-2-propoxy-3-propylquinazolin-4(3H)-one,189278-12-4,H351 | H400 | H410 |,M=1 | M=10 |
616-212-00-7,3-iodo-2-propynyl butylcarbamate; 3-iodoprop-2-yn-1-yl butylcarbamate,55406-53-6,H331 | H302 | H372 (larynx) | H318 | H317 | H400 | H410 |,M=10 | M=1 |
616-213-00-2,mandipropamid (ISO); 2-(4-chlorophenyl)-N-{2-[3-methoxy-4-(prop-2-yn-1-yloxy)phenyl]ethyl}-2-(prop-2-yn-1-yloxy)acetamide,374726-62-2,H400 | H410 |,M=1 | M=1 |
616-214-00-8,"metosulam (ISO); N-(2,6-dichloro-3-methylphenyl)-5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",139528-85-1,"H351 | H373 (eyes, kidneys) | H400 | H410 |",M=1000 | M=100 |
616-215-00-3,"dimethenamid-P (ISO); 2-chloro-N-(2,4-dimethyl-3-thienyl)-N-[(2S)-1-methoxypropan-2-yl]acetamide",163515-14-8,H302 | H317 | H400 | H410 |,M=10 | M=10 |
616-217-00-4,sulfoxaflor (ISO); [methyl(oxo){1-[6-(trifluoromethyl)-3-pyridyl]ethyl}-λ6-sulfanylidene]cyanamide,946578-00-3,H302 | H400 | H410 |,M=1 | M=1 |
616-218-00-X,"benzovindiflupyr (ISO); N-[9-(dichloromethylene)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl]-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide",1072957-71-1,H331 | H301 | H400 | H410 |,M=100 | M=100 |
616-220-00-0,pencycuron (ISO); 1-[(4-chlorophenyl)methyl]-1-cyclopentyl-3-phenylurea,66063-05-6,H400 | H410 |,M=1 | M=1 |
616-221-00-6,"hexaflumuron (ISO); | 1-(3,5-dichloro-4-(1,1,2,2-tetrafluoroethoxy)phenyl)-3-(2,6-difluorobenzoyl)urea",86479-06-3,H400 | H410 |,M=1000 | M=10000 |
616-222-00-1,"penthiopyrad (ISO); | (RS)-N-[2-(1,3-dimethylbutyl)-3-thienyl]-1-methyl-3-(trifluoromethyl)pyrazole-4-carboxamide",183675-82-3,H400 | H410 |,M=1 | M=1 |
616-224-00-2,"amisulbrom (ISO); | 3-(3-bromo-6-fluoro-2-methylindol-1-ylsulfonyl)-N,N-dimethyl-1H-1,2,4-triazole-1-sulfonamide",348635-87-0,H351 | H319 | H400 | H410 |,M=10 | M=10 |
616-225-00-8,"(RS)-2-methoxy-N-methyl-2-[α-(2,5-xylyloxy)-o-tolyl]acetamide; mandestrobin",173662-97-0,H400 | H410 |,M=1 | M=10 |
616-226-00-3,"carboxin (ISO); | 2-methyl-N-phenyl-5,6-dihydro-1,4-oxathiine-3-carboxamide; | 5,6-dihydro-2-methyl-1,4-oxathiine-3-carboxanilide",5234-68-4,H373 (Kidneys) | H317 | H400 | H410 |,M=1 | M=1 |
616-228-00-4,"3-(difluoromethyl)-1-methyl-N-(3',4',5'-tri­fluorobiphenyl-2-yl) pyrazole-4-carboxamide; fluxapyroxad",907204-31-3,H362 | H400 | H410 |,M=1 | M=1 |
616-231-00-0,"5-fluoro-1,3-di­methyl-N-[2-(4-methylpentan-2-yl) phenyl]-1H-pyrazole-4-carboxamide; 2'-[(RS)-1,3-dimethylbutyl]-5-fluoro-1,3-di­methylpyrazole-4-carboxanilide; penflufen",494793-67-8,H351 | H400 | H410 |,M=1 | M=1 |
616-234-00-7,"N-methoxy-N-[1-methyl-2-(2,4,6-trichlorophenyl)-ethyl]-3-(difluoromethyl)-1-methylpyrazole-4-carboxamide; pydiflumetofen",1228284-64-7,H351 | H361f | H400 | H410 |,M=1 | M=1 |
616-235-00-2,"N-{2-[[1,1'-bi(cyclopropyl)]-2-yl]phenyl}-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide; sedaxane",874967-67-6,H351 | H400 | H411 |,M=1 |
616-239-00-4,N-(5-chloro-2-isopropylbenzyl)-N-cyclopropyl-3-(difluoromethyl)-5-fluoro-1-methyl-1H-pyrazole-4-carboxamide; isoflucypram,1255734-28-1,H361f | H332 | H317 | H400 | H410,"inhalation: | ATE = 2,2 mg/L (dusts or mists) | M=10  | M=1"
650-032-00-X,"cyproconazole (ISO); (2RS,3RS;2RS,3SR)-2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",94361-06-5,H360D | H301 | H373 (liver) | H400 | H410 |,M=10 | M=1 |
